,solution_id,DESIGNATION,source_id,random_index,ref_epoch,ra,ra_error,dec,dec_error,parallax,parallax_error,parallax_over_error,pm,pmra,pmra_error,pmdec,pmdec_error,ra_dec_corr,ra_parallax_corr,ra_pmra_corr,ra_pmdec_corr,dec_parallax_corr,dec_pmra_corr,dec_pmdec_corr,parallax_pmra_corr,parallax_pmdec_corr,pmra_pmdec_corr,astrometric_n_obs_al,astrometric_n_obs_ac,astrometric_n_good_obs_al,astrometric_n_bad_obs_al,astrometric_gof_al,astrometric_chi2_al,astrometric_excess_noise,astrometric_excess_noise_sig,astrometric_params_solved,astrometric_primary_flag,nu_eff_used_in_astrometry,pseudocolour,pseudocolour_error,ra_pseudocolour_corr,dec_pseudocolour_corr,parallax_pseudocolour_corr,pmra_pseudocolour_corr,pmdec_pseudocolour_corr,astrometric_matched_transits,visibility_periods_used,astrometric_sigma5d_max,matched_transits,new_matched_transits,matched_transits_removed,ipd_gof_harmonic_amplitude,ipd_gof_harmonic_phase,ipd_frac_multi_peak,ipd_frac_odd_win,ruwe,scan_direction_strength_k1,scan_direction_strength_k2,scan_direction_strength_k3,scan_direction_strength_k4,scan_direction_mean_k1,scan_direction_mean_k2,scan_direction_mean_k3,scan_direction_mean_k4,duplicated_source,phot_g_n_obs,phot_g_mean_flux,phot_g_mean_flux_error,phot_g_mean_flux_over_error,phot_g_mean_mag,phot_bp_n_obs,phot_bp_mean_flux,phot_bp_mean_flux_error,phot_bp_mean_flux_over_error,phot_bp_mean_mag,phot_rp_n_obs,phot_rp_mean_flux,phot_rp_mean_flux_error,phot_rp_mean_flux_over_error,phot_rp_mean_mag,phot_bp_rp_excess_factor,phot_bp_n_contaminated_transits,phot_bp_n_blended_transits,phot_rp_n_contaminated_transits,phot_rp_n_blended_transits,phot_proc_mode,bp_rp,bp_g,g_rp,radial_velocity,radial_velocity_error,rv_method_used,rv_nb_transits,rv_nb_deblended_transits,rv_visibility_periods_used,rv_expected_sig_to_noise,rv_renormalised_gof,rv_chisq_pvalue,rv_time_duration,rv_amplitude_robust,rv_template_teff,rv_template_logg,rv_template_fe_h,rv_atm_param_origin,vbroad,vbroad_error,vbroad_nb_transits,grvs_mag,grvs_mag_error,grvs_mag_nb_transits,rvs_spec_sig_to_noise,phot_variable_flag,l,b,ecl_lon,ecl_lat,in_qso_candidates,in_galaxy_candidates,non_single_star,has_xp_continuous,has_xp_sampled,has_rvs,has_epoch_photometry,has_epoch_rv,has_mcmc_gspphot,has_mcmc_msc,in_andromeda_survey,classprob_dsc_combmod_quasar,classprob_dsc_combmod_galaxy,classprob_dsc_combmod_star,teff_gspphot,teff_gspphot_lower,teff_gspphot_upper,logg_gspphot,logg_gspphot_lower,logg_gspphot_upper,mh_gspphot,mh_gspphot_lower,mh_gspphot_upper,distance_gspphot,distance_gspphot_lower,distance_gspphot_upper,azero_gspphot,azero_gspphot_lower,azero_gspphot_upper,ag_gspphot,ag_gspphot_lower,ag_gspphot_upper,ebpminrp_gspphot,ebpminrp_gspphot_lower,ebpminrp_gspphot_upper,libname_gspphot,dist,g_mag_error,distance_pc,labels,is_core
0,1636148068921376768,b'Gaia DR3 3326717260430728832',3326717260430728832,64659481,2016.0,100.21750927599408,0.04549757,9.875294149694044,0.046151694,1.2917078530906148,0.060284253,21.426954,3.808608,-1.6900084488811316,0.06296877,-3.413116837789751,0.048520375,-0.111406386,-0.056928433,-0.086244054,0.1756002,-0.5115963,0.00017007848,-0.25261566,0.3196826,-0.00855931,-0.227327,213,0,212,1,-0.37994128,207.12749,0.0,0.0,31,False,1.3305854,,,,,,,,24,15,0.0911321,25,8,0,0.12075732,8.752776,0,0,0.9797853,0.33959097,0.219354,0.5223308,0.8234255,-85.36955,21.223923,-21.998446,-39.868362,False,211,5550.06277376746,19.657318,282.3408,16.326622,18,1405.644019571522,29.841154,47.10421,17.468853,18,6369.343789506336,65.75476,96.865135,15.2376585,1.4008828,0.0,0.0,0.0,0.0,0.0,2.2311945,1.142231,1.0889635,,,,,,,,,,,,,,,,,,,,,,,b'VARIABLE',202.9424191239063,2.1655648198924045,100.3405561457901,-13.197972528819799,False,False,0,False,False,False,True,False,False,True,False,1.1637619e-13,1.2237387e-10,0.99861324,,,,,,,,,,,,,,,,,,,,,,,0.0017706204379434997,0.003845481219864666,774.1688630345803,0,False
3,1636148068921376768,b'Gaia DR3 3326740934290462976',3326740934290462976,609141525,2016.0,100.22092326805554,0.04165148,9.883164679788509,0.04104419,1.3910436750839699,0.053320482,26.088354,4.0995693,-1.7835605982069083,0.055994626,-3.6912574010097035,0.04361607,-0.05543961,-0.015689088,0.007800416,0.047702286,-0.48222852,-0.07949087,-0.15822783,0.2647888,0.054149218,-0.08812243,231,0,228,3,1.2808603,260.79095,0.06283838,0.26495844,31,False,1.3322637,,,,,,,,26,17,0.07870672,27,8,0,0.0622047,84.75567,1,0,1.0597352,0.3159152,0.16996112,0.46531826,0.84562826,-84.03516,6.743052,-23.281788,-39.92383,False,210,6106.405077225018,38.549107,158.40588,16.222902,23,1669.986246643111,47.881393,34.87756,17.28176,23,6924.975051130886,123.94881,55.86964,15.14685,1.4075321,0.0,1.0,0.0,5.0,0.0,2.1349096,1.058857,1.0760527,,,,,,,,,,,,,,,,,,,,,,,b'VARIABLE',202.93694860439226,2.1721506961310317,100.34341565304243,-13.189878908360136,False,False,0,False,False,False,True,False,True,True,False,1.1603042e-13,6.7121156e-11,0.99861324,3711.9348,3680.3298,3727.446,4.0147,4.0069,4.0291,-0.2543,-0.2847,-0.2341,630.2241,623.0415,642.7631,0.5259,0.4867,0.5531,0.3581,0.331,0.3767,0.2119,0.1961,0.2227,b'PHOENIX',0.007277662709362584,0.006854140634093646,718.8846891810463,0,True
14,1636148068921376768,b'Gaia DR3 3326717466589159424',3326717466589159424,218333377,2016.0,100.20726275349371,0.0717536,9.882922646676537,0.06911148,1.341401884153634,0.089039095,15.065313,4.187956,-1.8459702485025062,0.09392085,-3.759171230190731,0.0751362,0.045192648,-0.09579086,-0.0416487,0.065550536,-0.47281945,-0.011001098,-0.23148547,0.19711003,0.124180265,-0.04670848,235,0,235,0,2.2454934,294.32965,0.23737593,1.4052535,31,False,1.2926282,,,,,,,,27,17,0.130808,27,8,0,0.12500772,94.22858,0,0,1.1050042,0.3297255,0.17762117,0.48676863,0.83959997,-79.66944,3.6531825,-23.505825,-39.508766,False,228,2550.2928573029703,7.357223,346.63797,17.17089,23,492.29257381896247,17.266611,28.511244,18.607985,24,3215.749420895159,24.335752,132.14095,15.97969,1.4539671,0.0,1.0,0.0,1.0,0.0,2.628295,1.4370937,1.1912012,,,,,,,,,,,,,,,,,,,,,,,b'VARIABLE',202.93101495199022,2.1600671168753363,100.32964751002167,-13.191095296359189,False,False,0,False,False,False,True,False,False,True,False,3.313855e-13,7.1716166e-12,0.9976672,3461.115,3445.5242,3466.8352,4.0364,4.0152,4.0622,-0.3916,-0.4414,-0.359,592.4116,573.472,607.3235,0.9232,0.8913,0.9459,0.5979,0.577,0.6126,0.3869,0.3738,0.3959,b'MARCS',0.01128252155062593,0.0031321906392709742,745.4887396635471,0,True
19,1636148068921376768,b'Gaia DR3 3326740934288416896',3326740934288416896,527738137,2016.0,100.21419864917645,0.13091052,9.890061092850072,0.11941211,1.4509681296850327,0.15074146,9.625541,3.9364626,-1.6362514872938991,0.16890597,-3.5802821222265995,0.13367783,0.113318875,-0.18146907,-0.09880523,0.07936912,-0.4091362,0.065520994,-0.30705544,0.13051379,0.16295089,0.022890242,244,0,244,0,-0.1681269,331.98056,0.609819,3.3437567,95,False,,1.1347933,0.035912406,-0.11292287,-0.116945736,0.13364257,-0.06974448,-0.0074910233,28,17,0.23468025,28,9,0,0.018224772,170.77074,0,0,0.9909072,0.2857503,0.18642631,0.43529794,0.8427666,-84.667404,-3.1418383,-22.492445,-39.299686,False,239,1116.0834895218343,1.9008634,587.14557,18.068125,21,168.4576513530072,21.208357,7.9429846,19.772316,23,1606.5606994975533,16.681192,96.30971,16.733152,1.5903993,0.0,1.0,0.0,0.0,0.0,3.0391636,1.7041912,1.3349724,,,,,,,,,,,,,,,,,,,,,,,b'NOT_AVAILABLE',202.9277816677027,2.1694055683765505,100.33611605021328,-13.183480733677106,False,False,0,False,False,False,False,False,False,True,False,9.474921e-13,1.2068567e-10,0.99995595,3001.4373,3000.3992,3003.6145,3.8411,3.8379,3.848,-0.5016,-0.5041,-0.5004,402.6806,399.6681,405.3749,1.0529,1.0291,1.0763,0.6343,0.6202,0.6485,0.4383,0.4286,0.4477,b'PHOENIX',0.01335658711445647,0.0018491772098170086,689.195013688601,0,True
21,1636148068921376768,b'Gaia DR3 3326717260430731648',3326717260430731648,1457281273,2016.0,100.21481052360741,0.02963556,9.86370019175049,0.028221108,1.3310366424917213,0.036478598,36.488155,4.038016,-1.5043168774187219,0.04086239,-3.7473463125621853,0.030329464,0.098839395,-0.16892686,-0.0040441244,0.14258595,-0.5144281,0.08762464,-0.17872013,0.10489463,0.00044689237,-0.0131187225,210,210,210,0,-2.4420156,1530.1733,0.23327005,53.113567,31,False,1.8004097,,,,,,,,24,16,0.056612678,27,9,2,0.008095741,99.16468,0,0,0.8802963,,,,,,,,,False,205,4251429.17317052,2318.7068,1833.5347,9.11603,23,3277627.853134692,3028.501,1082.2607,9.0496435,20,1633658.8300815662,876.6517,1863.521,9.214993,1.1552083,0.0,0.0,0.0,0.0,0.0,-0.165349,-0.06638622,-0.098962784,,,,,,,,,,,,,,,,,,,,,,,b'NOT_AVAILABLE',202.95152644893582,2.157905590712982,100.33869530305489,-13.209728679351661,False,False,0,True,True,False,False,False,False,True,False,1.021262e-13,5.101153e-13,0.9999998,9999.517,9998.249,9999.906,3.776,3.7652,3.7953,-1.0256,-1.0382,-0.9803,618.7526,604.9642,625.3595,0.0003,0.0,0.0008,0.0003,0.0,0.0008,1e-04,0.0,0.0004,b'PHOENIX',0.013468832165591107,0.0005921547182748083,751.2941177396773,0,False
26,1636148068921376768,b'Gaia DR3 3326740998714107008',3326740998714107008,825003904,2016.0,100.2064027572669,0.015224068,9.889708753807204,0.013703836,1.3789402552891628,0.017372038,79.377,3.8265846,-1.599471429579743,0.019254163,-3.476268226282299,0.015409147,0.14361386,-0.10922061,0.11338568,0.1400725,-0.41222742,0.13619357,-0.14828789,0.089436844,0.16728745,0.012945064,237,237,236,1,-4.939595,624.55994,0.10923365,15.812054,31,False,1.668718,,,,,,,,27,17,0.026806511,27,8,0,0.017815016,100.80628,0,0,0.77790266,,,,,,,,,False,235,531012.6173822217,173.98721,3052.021,11.374605,25,346496.6448640585,364.9337,949.4784,11.489295,25,272429.71419466566,154.66914,1761.3708,11.1597595,1.1655587,0.0,0.0,0.0,0.0,0.0,0.32953548,0.11468983,0.21484566,21.20495,5.881237,1.0,12.0,4.0,10.0,27.84565,-0.39202878,0.6019946,910.57916,57.442554,7250.0,4.0,0.0,555.0,154.97736,77.68142,8.0,11.038313,0.0234391,8.0,,b'NOT_AVAILABLE',202.92458615020908,2.1624119680079983,100.32827502308808,-13.184388332318893,False,False,0,True,True,False,False,False,True,True,False,1.13343295e-13,5.6614403e-13,0.9988797,7826.912,7816.7393,7836.934,4.0361,4.0282,4.0438,-0.5658,-0.5833,-0.5481,711.5607,703.8078,718.5619,0.1615,0.1574,0.1654,0.1483,0.1445,0.1519,0.0793,0.0772,0.0812,b'A',0.016455741398201145,0.0003557433602677543,725.1945805224902,0,True
30,1636148068921376768,b'Gaia DR3 3326717226070995328',3326717226070995328,1079846064,2016.0,100.20368927543221,0.017139817,9.862318785886938,0.015896054,1.4075075899431408,0.020530386,68.55729,3.9623468,-1.7222793210980099,0.022524545,-3.568465374927705,0.017687937,-0.0144702885,-0.047962934,-0.044421352,0.07947009,-0.41198522,0.018665237,-0.18892658,0.16198339,0.012446208,-0.09735699,219,219,218,1,0.5611465,737.9218,0.12578355,17.497776,31,True,1.6900282,,,,,,,,25,17,0.031483658,26,9,1,0.014781103,176.27489,0,0,1.0257318,,,,,,,,,True,216,1898099.95890322,1732.953,1095.298,9.9915695,24,1280779.3474274778,4067.71,314.86496,10.069857,24,940060.1042380908,1570.9332,598.4087,9.815006,1.170033,0.0,12.0,0.0,12.0,0.0,0.2548504,0.078287125,0.17656326,,,,,,,,,,,,,,,,,,,,,,,b'VARIABLE',202.94774968852096,2.1475268791961875,100.32757289160897,-13.211899955915134,False,False,0,True,True,False,True,False,False,True,False,2.3185727e-10,5.2916016e-13,0.99961317,,,,,,,,,,,,,,,,,,,,,,,0.019685178705344464,0.0009912701665621007,710.475742472122,0,True
32,1636148068921376768,b'Gaia DR3 3326717535308637184',3326717535308637184,268377608,2016.0,100.19668820033154,0.08145183,9.885868016697534,0.08332983,1.4285481673505542,0.11191622,12.764442,4.5168166,-1.828998300536207,0.112752594,-4.129938920769956,0.091215126,-0.014395755,-0.07682194,0.0012714412,0.0850628,-0.5326292,-0.09759765,-0.09994489,0.34440452,-0.009450083,-0.20387621,214,0,214,0,1.9343411,262.39722,0.3330781,2.255761,31,False,1.3349805,,,,,,,,25,16,0.16366589,25,7,0,0.0116671845,110.98091,0,0,1.0944443,0.36918297,0.18029784,0.5335548,0.83614546,-79.08247,13.10279,-23.494682,-39.784996,False,197,2391.99479229635,6.419945,372.58807,17.240467,22,610.6224145281697,18.388777,33.206257,18.374111,23,2691.69770757652,23.021341,116.921844,16.17283,1.3805716,0.0,3.0,0.0,3.0,0.0,2.2012806,1.1336441,1.0676365,,,,,,,,,,,,,,,,,,,,,,,b'VARIABLE',202.92363244605139,2.152143920180087,100.31875678887995,-13.18891149432899,False,False,0,False,False,False,True,False,True,True,False,1.6419385e-13,3.5980626e-12,0.99648726,3621.5452,3603.1223,3637.4954,4.3498,4.2959,4.3855,-0.2491,-0.2756,-0.2283,660.3913,633.7211,699.6389,0.4762,0.4493,0.5047,0.3208,0.3026,0.3403,0.1928,0.182,0.2042,b'PHOENIX',0.021895809025407987,0.0029140390723927305,700.0113981838234,0,False
33,1636148068921376768,b'Gaia DR3 3326740655117624448',3326740655117624448,1351274031,2016.0,100.23682906209314,0.05428636,9.865712280513424,0.05226127,1.337951946829526,0.06830545,19.587778,3.7775273,-1.58381973399684,0.06856374,-3.429464721139931,0.05472725,-0.15439522,0.110935025,0.01160188,0.1330604,-0.4668348,0.025998706,-0.1810056,0.23915954,-0.040645443,-0.20099975,229,0,225,4,-0.25150174,223.91087,0.106188856,0.46685854,31,False,1.3113633,,,,,,,,26,16,0.09842828,26,7,0,0.023474656,134.75708,0,0,0.9865254,0.35563177,0.19580318,0.49458423,0.8307986,-63.28148,14.191426,-26.379208,-39.797577,False,213,4221.042235402799,6.2307568,677.4526,16.623817,21,1013.5649369546777,19.074081,53.138336,17.823914,21,4957.424040293015,16.603823,298.57126,15.509755,1.4145769,0.0,0.0,0.0,0.0,0.0,2.3141584,1.2000961,1.1140623,,,,,,,,,,,,,,,,,,,,,,,b'VARIABLE',202.95964661791064,2.1781241903316144,100.36076912060766,-13.20614837812465,False,False,0,False,False,False,True,False,True,True,False,1.198936e-13,1.1161789e-12,0.9982583,3634.4714,3626.539,3639.1853,4.0221,4.004,4.0511,-0.3663,-0.4062,-0.3389,633.0234,618.3654,643.6539,0.7676,0.7486,0.7822,0.5154,0.5024,0.5253,0.3125,0.3051,0.3182,b'MARCS',0.022553500887322844,0.0016026748494720104,747.4109981077027,0,True
37,1636148068921376768,b'Gaia DR3 3326717191711252608',3326717191711252608,708058036,2016.0,100.23278850627557,0.053872224,9.858442256709088,0.05052116,1.3934018980164535,0.063616894,21.903017,4.069841,-1.7709025304245127,0.0718891,-3.664356799805134,0.057054784,-0.17508908,-0.031474993,-0.02660265,0.17527984,-0.383499,0.08548885,-0.19848411,0.23648901,-0.08788249,-0.2777095,221,0,220,1,0.8995462,244.05734,0.11316418,0.56608975,31,False,1.3144248,,,,,,,,25,16,0.105304904,25,7,0,0.029097773,99.02308,0,0,1.0421199,0.29739124,0.24256046,0.4690208,0.8271787,-78.36443,24.003628,-22.508762,-39.898487,False,207,4381.951110363946,6.0022173,730.0554,16.583199,22,985.9716606336901,22.390985,44.034313,17.853882,21,5141.408563093388,30.535501,168.37479,15.47019,1.3983223,0.0,1.0,0.0,1.0,0.0,2.3836918,1.2706833,1.1130085,,,,,,,,,,,,,,,,,,,,,,,b'VARIABLE',202.96430059939968,2.171263283491218,100.3572330071442,-13.213688224118998,False,False,0,False,False,False,True,False,False,True,False,1.1988797e-13,1.165658e-12,0.9982583,,,,,,,,,,,,,,,,,,,,,,,0.024205872196428266,0.001487196964956875,717.6680334823196,0,True
45,1636148068921376768,b'Gaia DR3 3326740964359745920',3326740964359745920,625230391,2016.0,100.23293727495161,0.035197694,9.898146737004609,0.03217432,1.3415151372134675,0.04171301,32.16059,3.8087966,-1.3331745877474241,0.046946485,-3.5678533001051926,0.038162112,0.03060221,-0.17630656,0.021875925,0.051693104,-0.40275764,0.09547714,-0.2679962,0.053492945,0.20582354,-0.161022,235,0,234,1,1.5778782,272.42603,0.083143696,0.6982062,31,False,1.3589168,,,,,,,,27,16,0.06656968,27,8,0,0.03130659,93.8379,0,0,1.0731375,0.277241,0.18373142,0.43446368,0.83974993,-92.15256,5.7308793,-20.812038,-39.260082,False,232,8847.396493393233,23.541952,375.81406,15.820328,24,2672.128410676697,49.667618,53.800213,16.771399,23,9404.102223606313,107.373955,87.58271,14.814602,1.3649473,0.0,2.0,0.0,3.0,0.0,1.9567966,0.9510708,1.0057259,,,,,,,,,,,,,,,,,,,,,,,b'VARIABLE',202.92901700215756,2.189520803422811,100.35442323301453,-13.174077825228379,False,False,0,False,False,False,True,False,True,True,False,1.0202521e-11,4.9841015e-10,1.0000274e-06,5444.3755,5389.8945,5523.698,4.2749,4.2476,4.3266,-1.5583,-1.7262,-1.4282,645.0767,610.1738,668.0378,2.7175,2.6854,2.768,2.058,2.0305,2.1005,1.1456,1.1293,1.1689,b'MARCS',0.026338869540440145,0.0028890250012699793,745.4258041971507,0,False
52,1636148068921376768,b'Gaia DR3 3326717191711253632',3326717191711253632,1612143990,2016.0,100.23215810022329,0.023749135,9.85382113828053,0.022819374,1.3265434356893386,0.029721366,44.632652,4.1493587,-1.6649901712997812,0.030950975,-3.800656108609236,0.024477238,-0.10058136,0.08633114,0.0985806,0.08046075,-0.47255155,-0.021578843,-0.10077036,0.23177885,-0.0038302238,-0.15462354,240,0,239,1,0.40051997,245.25166,0.0,1.3137939e-15,31,False,1.3856906,,,,,,,,27,16,0.043921933,29,9,0,0.027265208,96.08026,0,0,1.0171381,0.33613083,0.18442707,0.47750783,0.8409815,-68.633644,14.227569,-25.092775,-39.8068,False,237,17025.42475915833,28.04653,607.0421,15.109622,28,5872.781744083815,61.11024,96.10143,15.916432,29,16608.05861191149,77.05027,215.54836,14.197099,1.3204275,0.0,2.0,0.0,3.0,0.0,1.7193336,0.8068104,0.91252327,,,,,,,,,,,,,,,,,,,,,,,b'VARIABLE',202.96813114007912,2.1686008603915505,100.35694123837547,-13.218342235655477,False,False,0,False,False,False,True,False,True,True,False,1.0679834e-13,6.116184e-13,0.99952716,5849.5474,5797.243,6017.107,3.9514,3.9127,4.0337,-0.8166,-0.9044,-0.7597,841.3863,775.6079,872.1724,2.3533,2.3256,2.4447,1.8369,1.8131,1.9163,1.0139,1.0006,1.0599,b'MARCS',0.02756473983028012,0.0017885681722191256,753.8388665579953,0,True
57,1636148068921376768,b'Gaia DR3 3326717329148181248',3326717329148181248,1386117459,2016.0,100.19258076849248,0.13235767,9.861119477918614,0.12029694,1.3848913337950546,0.15309931,9.045706,4.010469,-1.5514743636613133,0.16776502,-3.6982144544900257,0.1426975,0.03920378,-0.23184463,-0.119125366,0.11718753,-0.34115547,0.090468556,-0.2553996,0.17526238,0.13786985,-0.10000677,228,0,227,1,1.0897845,329.6181,0.60589784,3.5345714,95,False,,1.1627163,0.03739897,-0.1191861,-0.13117516,0.12859826,0.006686609,-0.09772139,26,17,0.23703365,26,9,0,0.046582833,2.8909578,0,0,1.0507473,0.27374867,0.17024487,0.40503725,0.85023946,-100.154366,10.215758,-20.55727,-39.99497,False,208,1161.757645902017,2.487433,467.05084,18.024578,21,180.9677456459896,16.7021,10.835029,19.69454,20,1780.5381688636178,14.568274,122.22026,16.621517,1.6883951,0.0,1.0,0.0,1.0,0.0,3.0730228,1.6699619,1.4030609,,,,,,,,,,,,,,,,,,,,,,,b'NOT_AVAILABLE',202.94381623465287,2.137242566886104,100.3164494972683,-13.213887866472836,False,False,0,False,False,False,False,False,False,True,False,6.413127e-13,5.1481047e-13,0.9999844,,,,,,,,,,,,,,,,,,,,,,,0.02882879524097634,0.0023246638405487277,722.0783144477288,0,True
62,1636148068921376768,b'Gaia DR3 3326740758201316608',3326740758201316608,1597023047,2016.0,100.24672417757748,0.027883489,9.885498483918402,0.026464462,1.3392909229775483,0.03267149,40.99265,3.902586,-1.2275571180073745,0.04030414,-3.7044946724936363,0.034242317,-0.20390779,0.07183494,0.28461918,-0.14715928,-0.45887184,-0.17330922,0.13110082,0.14676999,0.02144362,-0.4253579,223,0,222,1,1.2411425,420.08853,0.15233573,6.0077357,95,False,,1.3618608,0.0072636814,-0.15319528,0.08037792,-0.02112281,-0.17705952,0.09165697,25,15,0.06311374,27,7,0,0.033788364,96.12198,7,0,1.0587317,0.31425637,0.21193108,0.46252912,0.8721639,-77.7644,24.866013,-24.683496,-40.38638,False,201,23367.103856074278,83.75388,278.99725,14.765855,22,8231.506690390692,112.44453,73.20505,15.549844,23,26570.62674640705,296.70615,89.551994,13.686891,1.4893644,0.0,22.0,0.0,23.0,0.0,1.8629532,0.78398895,1.0789642,18.880384,20.045235,2.0,10.0,9.0,9.0,5.020921,,,782.63544,,5500.0,4.5,0.0,0.0,,,,12.684271,0.50710243,2.0,,b'NOT_AVAILABLE',202.946483588622,2.1958305156525326,100.36927921904737,-13.185706282194676,False,False,0,False,False,False,False,False,True,True,False,1.0322627e-13,1.7231805e-11,0.9998808,6002.102,6000.5176,6006.605,4.0981,4.0843,4.113,-0.4062,-0.4655,-0.3573,680.6665,664.8984,696.4957,2.84,2.8343,2.8463,2.1926,2.1881,2.1973,1.2056,1.2024,1.2091,b'A',0.030486884404987823,0.00389156592567446,746.6637627743886,0,False
66,1636148068921376768,b'Gaia DR3 3326741071729412992',3326741071729412992,1586954253,2016.0,100.23542493104416,0.012434038,9.902870804053915,0.010570703,1.3912492071992073,0.01337639,104.00783,3.8638532,-1.5909875928371033,0.014795295,-3.5210965193727444,0.011875834,0.21558814,0.16874789,0.15669636,0.17121898,-0.30830657,0.121873885,-0.17312327,0.13169658,0.27835187,0.17298678,205,205,203,2,-1.040865,290.65558,0.046614334,2.6547523,31,True,1.5028051,,,,,,,,23,15,0.021255799,23,7,0,0.043288574,166.00761,0,0,0.9464998,,,,,,,,,False,175,251694.80729737144,1072.055,234.77788,12.185182,19,119968.60650060709,1759.6334,68.178185,12.640873,19,188153.74686861923,2129.6814,88.348305,11.561613,1.2241904,0.0,0.0,0.0,0.0,0.0,1.0792599,0.45569134,0.62356853,,,,,,,,,,,,,,,,,,,,,,,b'VARIABLE',202.92593051092712,2.193857830106876,100.35658126345774,-13.169188345033074,False,False,0,False,False,False,True,False,True,True,False,1.0234383e-13,5.112023e-13,0.99996823,5259.9844,5205.762,5304.0044,3.5301,3.4777,3.5775,-0.3933,-0.4326,-0.3636,688.9757,664.0248,704.5071,0.3088,0.2704,0.3403,0.2506,0.2191,0.2765,0.1347,0.1178,0.1487,b'MARCS',0.03160426894856319,0.0046245251677750005,718.7784868630039,0,True
78,1636148068921376768,b'Gaia DR3 3326716435797007744',3326716435797007744,334602523,2016.0,100.24206426214467,0.0514831,9.85374836289765,0.049306303,1.4360297775767237,0.063529566,22.604116,4.11721,-1.4451288134956324,0.06950026,-3.855259002575886,0.054821763,-0.1273804,0.10360153,0.059774887,0.069671445,-0.44440868,-0.0408475,-0.1279454,0.25461465,0.0032334342,-0.14315867,249,0,249,0,0.6015629,268.90976,0.03342067,0.04649968,31,False,1.3110672,,,,,,,,28,16,0.09835393,28,7,0,0.012046791,125.3841,0,0,1.0259765,0.30672342,0.1960665,0.43685883,0.8507903,-64.67153,20.808033,-26.122969,-39.947758,False,237,3842.609230297754,4.372465,878.8199,16.725801,26,945.2424962597204,15.3157835,61.71689,17.899685,27,4924.420558512729,37.487064,131.36319,15.517008,1.5275202,0.0,26.0,0.0,27.0,0.0,2.382677,1.1738834,1.2087936,,,,,,,,,,,,,,,,,,,,,,,b'VARIABLE',202.97265511644156,2.1772510862514625,100.36694582973118,-13.217706067889788,False,False,0,False,False,False,True,False,False,True,False,1.1763077e-13,1.237278e-12,0.99861324,,,,,,,,,,,,,,,,,,,,,,,0.03390897160264635,0.0012354479262203328,696.36438994147,0,False
85,1636148068921376768,b'Gaia DR3 3326717329150212352',3326717329150212352,1774723837,2016.0,100.18777060950302,0.054477107,9.85766016608018,0.05640824,1.2762374603177755,0.07331659,17.407211,4.0076666,-1.5732527390509556,0.07908599,-3.6859554981956975,0.07077429,-0.07049291,-0.07652729,0.0016137713,0.027715614,-0.5114702,-0.14655465,0.013099436,0.33441663,-0.046928413,-0.31081325,214,0,213,1,-1.1432832,193.60706,0.0,0.0,31,False,1.3373207,,,,,,,,25,16,0.12089089,25,7,0,0.007192381,84.8889,0,0,0.942901,0.35854134,0.20223132,0.5305423,0.83651906,-84.1706,19.733084,-22.904232,-40.083652,False,193,3938.450860998926,4.10376,959.7177,16.699053,21,1098.299112772775,36.410976,30.163956,17.73674,20,4493.680705771467,15.068894,298.20905,15.61639,1.4198425,0.0,0.0,0.0,1.0,0.0,2.12035,1.0376873,1.0826626,,,,,,,,,,,,,,,,,,,,,,,b'NOT_AVAILABLE',202.94473022859327,2.1314467195421956,100.3118510585693,-13.217680707954852,False,False,0,False,False,False,False,False,True,True,False,1.1986314e-13,9.856138e-13,0.9982583,3634.7847,3619.496,3646.2964,4.2031,4.0795,4.2654,-0.6992,-0.7524,-0.6432,553.5024,480.3981,611.5981,0.5202,0.4975,0.5422,0.3554,0.3397,0.3706,0.2092,0.2001,0.2179,b'MARCS',0.03469070306304395,0.0011313078738958969,783.5532423182484,0,False
90,1636148068921376768,b'Gaia DR3 3326905203903326976',3326905203903326976,186025301,2016.0,100.18431944798496,0.0683326,9.894263237536583,0.07057491,1.3035464010006586,0.09639252,13.523314,3.9072745,-1.6616675441497812,0.098386146,-3.5363335916126672,0.06993994,0.12670392,-0.18978423,-0.17938584,-0.009662691,-0.59216213,-0.23013504,-0.26070422,0.39950496,0.062668756,0.009623993,201,0,200,1,1.5422469,237.48637,0.17819703,0.9772004,31,False,1.264857,,,,,,,,23,15,0.14223565,23,7,0,0.021976506,91.23777,0,0,1.0773497,0.39323002,0.18960638,0.59190834,0.8172141,-82.69813,2.692862,-23.25407,-39.691227,False,198,3226.6732433449956,4.683152,688.99603,16.91548,21,516.9900407712253,21.717222,23.805532,18.554836,20,4315.815329070331,18.659779,231.28973,15.660238,1.4977672,0.0,1.0,0.0,0.0,0.0,2.894598,1.6393566,1.2552414,,,,,,,,,,,,,,,,,,,,,,,b'VARIABLE',202.9105902707543,2.145137258838911,100.30565142093401,-13.18141897162171,False,False,0,False,False,False,True,False,True,True,False,1.5141294e-13,9.479201e-13,0.9982583,3476.6584,3470.078,3483.781,4.0955,4.0657,4.1287,0.1529,0.1408,0.1643,531.986,516.7604,545.7942,1.0247,1.0014,1.0469,0.6469,0.632,0.6611,0.4453,0.4358,0.4545,b'MARCS',0.03654014030163216,0.001575823594339164,767.1380161322656,0,False
